Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly)
08/22  15:00:00,0.8407239808,0.6151798804,0,0,0,0,0,0.07848036474,0.01715689629,0.3716301641,0.3527565556
08/22  16:00:00,0.9611938752,0.6928700631,0,0,0,0,0,0.08338538755,0.01822920246,0.4216301052,0.41724918
08/22  17:00:00,1.172444064,0.8495801935,0,0,0,0,0,0.1079105016,0.02359073329,0.5133517587,0.50689107
08/22  18:00:00,1.29283788,0.9889762341,0,0,0,0,0,0.1814858114,0.03967532104,0.470646037,0.5503307107
08/22  19:00:00,1.40988022,1.021278153,0,0,0,0,0,0.3531616617,0.077206025,0.390763022,0.5680495115
08/22  20:00:00,1.694889442,0.9575790357,0,0,0,0,0,0.6033177298,0.1318936419,0.3513997732,0.5875782973
08/22  21:00:00,1.872570622,0.8714187708,0,0,0,0,0,0.77499358,0.1694243458,0.3335921806,0.5738605161
08/22  22:00:00,1.496233633,0.7239548979,0,0,0,0,0,0.57879267,0.1265321229,0.2736061058,0.4966027341
08/22  23:00:00,1.133473638,0.5643358798,0,0,0,0,0,0.4022118898,0.08792908667,0.1910941259,0.4315385355
08/22  24:00:00,0.7618717898,0.3925682379,0,0,0,0,0,0.2060109798,0.04503686375,0.1331758464,0.3569480999
08/23  01:00:00,0.6147285911,0.3174007429,0,0,0,0,0,0.122625516,0.02680764229,0.1159402568,0.328655176
08/23  02:00:00,0.5488809378,0.2980180243,0,0,0,0,0,0.08338538755,0.01822920246,0.1017216665,0.3248446812
08/23  03:00:00,0.54690369,0.7490514472,0,0.4432828317,0.01186910724,0.01186910724,0.01186910724,0.08338538755,0.01822920246,0.09244790524,0.3202720875
08/23  04:00:00,0.5660842283,1.58277129,0,1.213090567,0.03248107304,0.03248107304,0.03248107304,0.08338538755,0.01822920246,0.1031147988,0.3081737665
08/23  05:00:00,0.6346539146,2.341599422,0,1.699773009,0.04551222534,0.04551222534,0.04551222534,0.08829041036,0.01930150863,0.1169526151,0.3438971552
08/23  06:00:00,0.8352585409,3.670608612,0,2.520104505,0.0674769887,0.0674769887,0.0674769887,0.1422456507,0.03109687646,0.1763996804,0.3973393447
08/23  07:00:00,1.086750768,2.723416329,0,1.435666355,0.03844064491,0.03844064491,0.03844064491,0.2501561743,0.05468761688,0.2630635087,0.4222028232
08/23  08:00:00,0.9644477203,1.741276268,0,0.5054279045,0.01353307092,0.01353307092,0.01353307092,0.1962009125,0.04289224667,0.3341733904,0.3569480999
08/23  09:00:00,0.8509291529,1.155755146,0,0.04988611164,0.001335724207,0.001335724207,0.001335724207,0.09810045598,0.02144612096,0.4055551543,0.3037916975
