Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly)
11/12 04:00:00,0.7095800836,6.193251936,0,5.838042754,0,0.16193771,0.16193771,0.16193771,0.08076365526,0.01748721399,0.08272378309,0.3464417212
11/12 05:00:00,0.7261066373,6.834568308,0,6.420828501,0,0.1781032287,0.1781032287,0.1781032287,0.08076365526,0.01748721399,0.09617170048,0.3333548388
11/12 06:00:00,0.7825137594,6.772758147,0,6.109895431,0,0.1694784564,0.1694784564,0.1694784564,0.08884002279,0.01923593562,0.1127361365,0.3719972081
11/12 07:00:00,0.9855671684,7.085579978,0,5.958222159,0,0.1652712892,0.1652712892,0.1652712892,0.1534509832,0.03322571088,0.1835869927,0.4298061925
11/12 08:00:00,1.323969617,6.981873116,0,5.725368287,0,0.1588123055,0.1588123055,0.1588123055,0.2988254971,0.06470270013,0.2872018324,0.4567012815
11/12 09:00:00,1.270369517,6.196017115,0,4.977959737,0,0.1380804208,0.1380804208,0.1380804208,0.2907491295,0.0629539785,0.3722454341,0.3861145536
11/12 10:00:00,1.117483968,5.189157391,0,4.087156072,0,0.1133709914,0.1133709914,0.1133709914,0.1615273507,0.0349744325,0.4587704852,0.3286147082
11/12 11:00:00,1.107380055,4.627707737,0,3.658689795,0,0.1014860411,0.1014860411,0.1014860411,0.1372982481,0.02972826763,0.4822983164,0.336343182
11/12 12:00:00,1.088405393,3.0777559,0,2.226416878,0,0.06175714464,0.06175714464,0.06175714464,0.1372982481,0.02972826763,0.5029495039,0.3364462284
11/12 13:00:00,1.040963165,2.033066858,0,1.273712626,0,0.03533069465,0.03533069465,0.03533069465,0.1372982481,0.02972826763,0.4876012742,0.3307786809
11/12 14:00:00,1.008630184,2.004452835,0,1.296027397,0,0.03594966971,0.03594966971,0.03594966971,0.1372982481,0.02972826763,0.4432111761,0.3422168222
11/12 15:00:00,1.012131786,1.938030894,0,1.276380054,0,0.03540468471,0.03540468471,0.03540468471,0.1534509832,0.03322571088,0.4083379239,0.3614864836
11/12 16:00:00,1.106579338,1.448214507,0,0.7781204254,0,0.0215837816,0.0215837816,0.0215837816,0.2180618217,0.04721548388,0.4179117346,0.3815805157
